,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other,self,other
22,38266-3,,Låg Ready2Cook 300x200x26 mm Lavt APET,Alubakke 290 ml Ø111x43 mm Rund Guld,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/38266-3.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7353-1.jpg,,,ps,pk,100 stk/ps,115 stk/pk,2 ps x 100 stk/krt,9 pk x 115 stk/krt,5701022215513,5701022184925,,Låg 7345-2,2,9,,,,,Klar,Guld,24,0.76,,,,,,,4,35,,,121.05,13331,,,,,5024100200,29011305,103502.05961700004,55676.82063300002,,,READY2COOK,,,,242,26662,15,,284.75,29624.5,,E140200,E100010 - Deaktiveret,E140200 - Deaktiveret
23,7331,,Alubakke 685 ml 326x106x25 mm,Alubakke 1000 ml 266x131x39 mm,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7331.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7420.jpg,,,,,125 stk/pk,100 stk/pk,5 pk x 125 stk/krt,8 pk x 100 stk/krt,5701022000799,5701022000829,,,5,8,,,,,,,126,1.24,,,,,,,59,64,,,129.22,14193,,,,,737007900,7310008900,145845.14196,68916.567252,,,,,,,258.5,28386,15,,304,31540,,E140210,E100010 - Deaktiveret,E140210 - Deaktiveret
24,7353-1,,Alubakke 290 ml Ø111x43 mm Rund Guld,Alubakke 3-rum 210/290/490 ml 227x178x39 mm,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7353-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/7911.jpg,,,,,115 stk/pk,100 stk/pk,9 pk x 115 stk/krt,5 pk x 100 stk/krt,5701022184925,5701022128837,Låg 7345-2,Låg 73005Dimension 227x178x39 mm,9,5,,,,,Guld,,76,1.98,B,C,,A02,,Egnet til Fødevarekontakt,35,2,,,133.31,15659,,,,,29011305,559910000,55676.82063300002,45475.197690000015,,,,,,,266.5,31318,15,,313.5,34797.75,,E140220,E100010 - Deaktiveret,E140220 - Deaktiveret
25,7420,,Alubakke 1000 ml 266x131x39 mm,Låg Vistopac 168x141x34 mm APET Klar til 300 ml bakke 111767,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7420.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/111797.jpg,,,pk,krt,100 stk/pk,2 pk x 250 stk/krt,8 pk x 100 stk/krt,2 pk x 250 stk/krt,5701022000829,5701022203503,,Erstatter vnr  36348 som er udgået hos Plus Pack.,8,1,HOTFOOD,COLDFOOD,FOILCONT,DELISALAD,sølv,Klar,124,5.18,,,,,,,64,5,,,141.93,17344,,,,,7310008900,6210500000,68916.567252,11617.816283999997,,,,,,,283.75,34688,15,,333.75,38542.25,,E140230,E100010 - Deaktiveret,E140230 - Deaktiveret
26,7911,,Alubakke 3-rum 210/290/490 ml 227x178x39 mm,Sushibakke Vistopac 1-rum 300 ml 177x150x27 mm RPET Sort,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/7911.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/111767.jpg,,,pk,krt,100 stk/pk,4 pk x 125 stk/krt,5 pk x 100 stk/krt,4 pk x 125 stk/krt,5701022128837,5701022203657,Låg 73005Dimension 227x178x39 mm,Erstatter vnr  37347 som er udgået hos Plus Pack. Låg findes på vnr 111797,5,1,HOTFOOD,COLDFOOD,FOILCONT,DELISALAD,,Sort,198,5.8,,,A02,,Glas & Gaffel,,2,4,,,156.59,18424,,,,,559910000,6294010700,45475.197690000015,11511.654992,,,,,,,313.25,36848,15,,368.5,40942.25,,E140240,E100010 - Deaktiveret,E140240 - Deaktiveret
27,111797,,Låg Vistopac 168x141x34 mm APET Klar til 300 ml bakke 111767,Plastlåg Diamond Ø199x25 mm højt  RPET Klar til skål ø188 mm,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/111797.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/37340-1.jpg,,,,,2 pk x 250 stk/krt,300 stk/krt,2 pk x 250 stk/krt,300 stk/krt,5701022203503,5701022159534,Erstatter vnr  36348 som er udgået hos Plus Pack.,Passer til eks 105153 og 107304plant låg er alternativ på vnr 37339-1,,,,,,,,,518,4.14,,,,,,,5,3,,,173.44,21047,,,,,6210500000,6202525005,11617.816283999997,16876.224964999998,,,,,,,347,42094,15,,408.25,46771,,E140250,E100010 - Deaktiveret,E140250 - Deaktiveret
28,111767,,Sushibakke Vistopac 1-rum 300 ml 177x150x27 mm RPET Sort,"Plastskål Bowl Diamond 714ml Ø18,8x4,8cm RPET Sort",https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/111767.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/107304.jpg,,,,,4 pk x 125 stk/krt,6 pk x 50 stk/krt,4 pk x 125 stk/krt,6 pk x 50 stk/krt,5701022203657,5701022186455,Erstatter vnr  37347 som er udgået hos Plus Pack. Låg findes på vnr 111797,Låg = 37339-1 (plan) eller 37340-1 (høj)ikke pakket med stablet i kartonen 6x50 stk. jfh,,,,,,,,,58,4.71,,,,,,,4,14,,,184.24,21287,,Ø188 x H48 mm,,,6294010700,6202500017,11511.654992,16272.239851999995,,,,,,,368.5,42574,15,,433.5,47304.5,,E140260,E100010 - Deaktiveret,E140260 - Deaktiveret
29,37340-1,,Plastlåg Diamond Ø199x25 mm højt  RPET Klar til skål ø188 mm,Plastskål Bowl Diamond 952 ml Ø188x60 mm RPET Klar,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/37340-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/37336-1.jpg,,,,,,,,,5701022159534,5701022185786,Passer til eks 105153 og 107304plant låg er alternativ på vnr 37339-1,Låg 37339-1,,,,,,,,,414,5.4,,,,,,,3,18,,,210.47,23485,,,,,6202525005,6203200005,16876.224964999998,8295.741309999998,,,,,,,421,46970,15,,495.25,52189,,E140270,E100010 - Deaktiveret,E140270 - Deaktiveret
30,107304,,"Plastskål Bowl Diamond 714ml Ø18,8x4,8cm RPET Sort",Bakke 2-rum 395/500 ml 238x176x40 mm Oval PP Sort,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/107304.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/3506-1.jpg,,,,,6 pk x 50 stk/krt,240 stk/krt,6 pk x 50 stk/krt,240 stk/krt,5701022186455,5701022202698,Låg = 37339-1 (plan) eller 37340-1 (høj)ikke pakket med stablet i kartonen 6x50 stk. jfh,Plus Pack har erstattet halvdelen af pp plasten med kridt hvilket giver en stor reduktion i udledningen af CO2. Derfor oprettet på-1 Låg 3583,,,,,DELISALAD,MICROWAVE,,,471,8.16,,,,,,,14,16,,,212.87,23730,Ø188 x H48 mm,238x176x40 mm,,,6202500017,155024703,16272.239851999995,43936.36811499999,,,,,,,425.75,47460,15,,501,52733.25,,E140280,E100010 - Deaktiveret,E140280 - Deaktiveret
31,37336-1,,Plastskål Bowl Diamond 952 ml Ø188x60 mm RPET Klar,Bakke Zen Tapas 1-rum Rektangulær 1134ml L320xB250xH20mm RPET Sort,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/1XL/37336-1.jpg,https://d213yzj61vi89h.cloudfront.net/Bunzl-MLN-Site/images/processed/140996.jpg,,,,,300 stk/krt,2 ps x 60 stk/krt,300 stk/krt,2 ps x 60 stk/krt,5701022185786,5701022217395,Låg 37339-1,Låg vnr. 140997,,,,,DELISALAD,SUSHITRAY,Klar,Sort,54,9.8,,,,,,,18,4,,,234.85,27650,,,,,6203200005,5020810200,8295.741309999998,14891.14679,,,,,,,469.75,55300,15,,552.75,61444.5,,E140290,E100010 - Deaktiveret,E140290 - Deaktiveret
